verify_date,ref_date,event_id,initial_state,final_state,outcome
2026-03-05,2026-02-26,KXPERFORMROLE007-VILLAIN,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXPERFORMROLEBRITNEY,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXINDIANAPOWELL-30,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXYTUBESUBSISHOWSPEED,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXTVSEASONRELEASEACOURTOFTHORNSANDROSES,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXPOPCHANGESTATE10-35,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXACTORTOMCRUZ-30,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXPERFORMROLE007-MONEYPENNY,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXPERFORMROLE007,Dormant,Dormant,State Maintained
2026-03-05,2026-02-26,KXPERFORMROLE007-Q,Dormant,Dormant,State Maintained
